,term_x,entity_id,text_1,text_2,text_3,text_4,text_5,term_y,check
435,indianen,Q3323096,presidio,['Presidio (fort)'],"is een type forten en militaire buitenposten die door de Spanjaarden tussen de 16e en 19e eeuw in Noord-Amerika opgericht werden. Presidio's werden gebouwd als bescherming tegen piraten, gewelddadige indianen en vijandige kolonisten.",[],['fort'],,
436,indianen,Q1261048,Warau,"['Warao-indianen', 'Waraos']",['volk'],['etnische groep'],[],,
437,indianen,Q100341399,Indianen Verhalen,,['Tentoonstelling uit 1998'],"['tentoonstelling', 'tijdelijke tentoonstelling']",[],,
438,indianen,Q6034885,inheemse Surinamers,['Surinaamse indianen'],['etnische groep in Suriname'],['etnische groep'],['Indianen'],,
439,indianen,Q6979964,Controverse over het benoemen van de Indianen,,,[],[],,
440,indianen,Q47534052,De keizerlijke troepen brengen de Indianen beschaving,,['prent van Dirck Volkertsz. Coornhert'],['prent'],[],,
441,indisch,Q188161,Nederlands-Indië,"['Nederlands Indië', 'Nederlandsch-Indie', 'Nederlands Indie', 'Nederlands Oost-Indië', 'De Oost', 'Nederlands-Indisch', 'Nederland overzee', 'Hindia-Belanda', 'Nederlands-Indie', 'Nederlandsch-Indië', 'Nederlands Oost-Indie']",['voormalige kolonie der Nederlanden in Zuidoost-Azië; na 1949 Indonesië'],"['historisch land', 'kolonie']",[],,
442,indisch,Q215643,Indo-Grieken,"['Indo-Griekse Rijk', 'Indo-Grieks koninkrijk', 'Indo-Grieks', 'Indisch-Griekse koninkrijk', 'Indisch-Grieks koninkrijk']",['historisch land'],['historisch land'],[],,
443,indisch,Q109712735,Derde Archbold-expeditie,"['3e Archbold-expeditie', 'Nederlandsch-Indisch Amerikaansche Expeditie naar Nederlandsch Nieuw-Guinea', ""3e Archbold-expeditie naar Nieuw Guinea 1938-'39""]",['Nederlands-Indische Amerikaanse expeditie naar Nieuw-Guinea'],['wetenschappelijke expeditie'],[],,
444,indisch,Q523553,Koninklijk Nederlandsch-Indisch Leger,"['KNIL', 'Koninklijk Nederlandsch-Indisch Leger (KNIL)', 'Koninklijk Nederlandsch-Indische Leger', 'Nederlands-Indische Leger']",['Nederlandse koloniale leger'],"['leger', 'landmacht']",[],,
445,indisch,Q84322587,Nederlands-Indische Commissie voor Australië en Nieuw-Zeeland,"['NINDICOM', 'Nederlands-Indische Commissie voor Australië en Nieuw-Zeeland', 'Nederlands-Indische Commissie']",Nederlands-Indisch bestuur in ballingschap,['commissie'],[],,
446,indisch,Q93237080,West-Indisch Comité,"['comité tot de zaken van de koloniën en bezittingen op de kust van Guinea en America', 'Comité tot de Zaken Koloniën en Bezittingen op de Kust Guinea en in Amerika', 'Committé tot de zaken van de Coloniën en Bezittingen in Africa en America']",['overheidsorganisatie voor bestuur van Nederlandse koloniën in Amerika (1795-1800)'],['overheidsorganisatie'],[],,
447,indisch,Q13927486,Oost-Indisch Huis,,['gebouwen in Nederland'],[],"['gebouw', 'Vereenigde Oostindische Compagnie']",,
448,indisch,Q63314979,,,"uitgave van Een opmerkelijk Wapenfeit, ontleend aan de Geschiedenis van het West-Indisch eiland St. Martin (1863 edition)","['editie, versie of vertaling']",[],,
449,indisch,Q2720031,West-Indisch Huis,"['Luthers wees- en oudeliedenhuis en West-Indisch Huis', 'rijksmonumentnummer 1372', 'West-Indisch Huis (Amsterdam)']",['voormalige hoofdkwartier van de West-Indische Compagnie (WIC) in Amsterdam'],['woonhuis'],[],,
450,indisch,Q98496136,"Rijksinstelling van onderwijs in Indische taal-, land- en volkenkunde","['rijksinstelling voor onderwijs in Indisch taal-, land en volkenkunde']",['onderwijsinstelling in Leiden'],['onderwijsinstelling'],[],,
451,indische,Q652560,West-Indische Federatie,,['historisch land'],['historisch land'],[],,
452,indische,Q826616,Deense Oost-Indische Compagnie,['Deense Oostindische Compagnie'],,['koloniale onderneming'],[],,
453,indische,Q53034861,Emancipatiewet,['Wet tot opheffing der slavernij in de Nederlandsche West-Indische Koloniën'],['wetpakket voor de afschaffing van de Nederlandse slavernij'],['wet'],[],,
454,indische,Q100341198,Nederlandsche West-Indische Tentoonstelling,,['Tentoonstelling uit 1899'],['tijdelijke tentoonstelling'],[],,
455,indische,Q109712735,Derde Archbold-expeditie,"['3e Archbold-expeditie', 'Nederlandsch-Indisch Amerikaansche Expeditie naar Nederlandsch Nieuw-Guinea', ""3e Archbold-expeditie naar Nieuw Guinea 1938-'39""]",Nederlands-Indische Amerikaanse expeditie naar Nieuw-Guinea,['wetenschappelijke expeditie'],[],,
456,indische,Q1270312,Deense West-Indische en Guineese Compagnie,['Deense Afrika Compagnie'],,"['handelscompagnie', 'koloniale onderneming']",[],,
457,indische,Q100341062,"Tentoonstelling Indonesië, Suriname, Nederlandse Antillen","['TISNA', 'Tentoonstelling Indonesië, Suriname en de Nederlandse Antillen']",rondreizende Indische tentoonstelling en filmvoorstellingen voor de Nederlandse jeugd,['tijdelijke tentoonstelling'],[],,
458,indische,Q605901,Zweedse Oost-Indische Compagnie,,['bedrijf in Zweden'],"['koloniale onderneming', 'handelscompagnie']",[],,
459,indische,Q523553,Koninklijk Nederlandsch-Indisch Leger,"['KNIL', 'Koninklijk Nederlandsch-Indisch Leger (KNIL)', 'Koninklijk Nederlandsch-Indische Leger', 'Nederlands-Indische Leger']",['Nederlandse koloniale leger'],"['leger', 'landmacht']",[],,
460,indische,Q84322587,Nederlands-Indische Commissie voor Australië en Nieuw-Zeeland,"['NINDICOM', 'Nederlands-Indische Commissie voor Australië en Nieuw-Zeeland', 'Nederlands-Indische Commissie']",['Nederlands-Indisch bestuur in ballingschap'],['commissie'],[],,
461,indischer,Q55037988,ein indischer König,,['opera-personage uit Phaëton'],"['opera-personage', 'fictief mens']",[],,
462,indo,Q2116909,Indische Nederlanders,"['Indo-Europeanen', ""Indo's"", 'Indische gemeenschap']",['Nederlanders van Nederlands-Indische afkomst'],['etnische groep'],[],,
463,indo,Q475027,Indo-Europeanen,"['Indogermanen', 'Indo-Germanen', 'Indo-Europese volkeren', 'Indo-Europese volken']",['voorouders van de moderne Europeanen'],[],['etnische groep'],,
464,indo,Q8752,Baskisch,"['Euskara', 'eu']",niet-Indo-Europese taal isolaat gesproken door de Baskische bevolking in delen van het huidige Frankrijk en Spanje,"['isolaat', 'levende taal']",['Vasconische talen'],,
465,indo,Q40477,Slavische volkeren,"['Slavisch Europa', 'Slavische volken']","de Indo-Europese volken die een taal uit de Slavische taalfamilie spreken en worden aan de hand van de onderverdeling van deze taalfamilie onderscheiden in Oost-, West- en Zuid-Slaven",['inheemse bevolking'],['Indo-Europeanen'],,
466,indo,Q60741209,Indo-Māori,['Māori Indians'],['etnische groep in Nieuw-Zeeland van mensen met gemengde Māori en Indiase afkomst'],['etnische groep'],['Maori'],,
467,indo,Q240123,Indo-Scythen,,['historisch land'],"['historisch land', 'etnische groep']",[],,
468,indo,Q269145,Indo-Arische migratie-theorie,,['theorie van migraties van Indo-Arische volkeren naar het Indisch Subcontinent'],['menselijke migratie'],[],,
469,indo,Q215643,Indo-Grieken,"['Indo-Griekse Rijk', 'Indo-Grieks koninkrijk', 'Indo-Grieks', 'Indisch-Griekse koninkrijk', 'Indisch-Grieks koninkrijk']",['historisch land'],['historisch land'],[],,
470,indo,Q61896194,De vergeten krijgers : de onvoorwaardelijke trouw van de Indo-Afrikaanse gemeenschap aan de Nederlandse vlag,,['boek door Griselda Molemans'],['literair werk'],[],,
471,indo,Q1610219,Hermaeus Soter,,"westelijke Indo-Griekse koning van de Eucratiden-dynastie die over het gebied van de Paropamisade in de Hindoekoesj heerste, met als hoofdstad Alexandria van de Kaukasus bij het huidige Kabul, Afghanistan",['mens'],[],,
472,indo's,Q2116909,Indische Nederlanders,"['Indo-Europeanen', ""Indo's"", 'Indische gemeenschap']",['Nederlanders van Nederlands-Indische afkomst'],['etnische groep'],[],,
473,inheems,Q103817,inheemse bevolking,"['Natives', 'oorspronkelijke bewoners', 'inheemsen', 'oorspronkelijke bevolking', 'inheemse volken', 'inheems volk', 'inheemse volkeren', 'primitieve volkeren', 'oorspronkelijke culturen']",,[],"['bevolkingsgroep', 'volk', 'etnische groep', 'minderheid']",aboriginal,True
475,inheems,Q2659059,Paleo-Eskimo's,,Inheems volk van de Arctische regio,"['volk', 'beschaving']",[],,
476,inheems,Q185461,Arameeërs,"['Arameers', 'Arameeers', 'Arameërs', 'Aram']",etnische groep inheems tot Mesopotamië en de Levant,"['volk', 'nationale minderheid']",[],,
477,inheems,Q1853257,Waiwai (volk),,inheems volk in Brazilië,"['geïsoleerde groep mensen', 'etnische groep']",[],,
478,inheems,Q3814068,Kaxuyana,,Inheems volk in Brazilië,['etnische groep'],[],,
479,inheems,Q1065583,Potawatomi,,inheems Amerikaans volk,"['etnische groep', 'bestuurlijk gebied']",[],,
480,inheems,Q672999,Esopus,,inheems Amerikaans volk,['volk'],[],,
481,inheems,Q5162345,Inheems Amerikaanse religie,,['godsdienst en spirituele riten van inheemse volkeren van Noord- en Zuid-Amerika'],['religie'],['ethnische godsdienst'],,
482,inheems,Q51716,Houma Nation,,inheems volk van Noord-Amerika,['etnische groep'],['Native Americans in the United States'],,
483,inheems,Q107434,Sioux,,inheems volk van Noord-Amerika,"['stam', 'etnische groep']",['Indianen'],,
484,inheemse,Q103817,inheemse bevolking,"['Natives', 'oorspronkelijke bewoners', 'inheemsen', 'oorspronkelijke bevolking', 'inheemse volken', 'inheems volk', 'inheemse volkeren', 'primitieve volkeren', 'oorspronkelijke culturen']",,[],"['bevolkingsgroep', 'volk', 'etnische groep', 'minderheid']",aboriginal,True
486,inheemse,Q1363781,inheemse volkeren in Brazilië,,['etnische groep'],['etnische groep'],['inheemse bevolking'],,
487,inheemse,Q216839,Inheemse volken van Taiwan,['Taiwanese aboriginals'],,"['geïsoleerde groep mensen', 'etnische groep']",['inheemse bevolking'],,
488,inheemse,Q15571255,oorspronkelijk bevolking van Noord-Amerika,['inheemse bevolking van Noord-Amerika'],,"['etnische groep', 'bevolkingsgroep']",['Indianen'],,
489,inheemse,Q1493806,inheemse bevolking van Australië,,,['etnische groep'],['inheemse bevolking'],indigenous,True
490,inheemse,Q1755300,Omvolking,,Vervanging van de Westerse inheemse bevolking door immigranten met een niet-Westerse cultuur,[],['culturele assimilatie'],,
491,inheemse,Q36747,Indianen,"['Indianenstam', 'Indiaanse', 'Indiaans', 'Oorspronkelijke Amerikanen', 'Roodhuid', 'inheemse Amerikaanse indianen', 'Amerikaanse indianen', 'inheemse indianen']",['oorspronkelijke bewoners van Amerika'],"['etnische groep', 'bevolkingsgroep', 'groep mensen']",['inheemse bevolking'],,
492,inheemse,Q16908608,autochtoon,,inheemse bevolking,['term'],['inheemse bevolking'],,
493,inheemse,Q804127,Bajau-mensen,,"inheemse groep afkomstig van het eiland Bajau in het regentschap Anambas-eilanden, provincie Riau-eilanden, Indonesië","['etnische groep', 'inheemse bevolking', 'ethnische groep in Indonesië']",[],,
494,inheemse,Q3987120,inheemse volken van de Arctische regio,,,['culturele regio'],[],,
495,inlander,Q1945590,Inlander,['Inlander (Nederlands-Indie)'],['etnische groep'],['inheemse bevolking'],['Indonesiërs'],,
496,inlander,Q104250539,,,schilderij van Henry Inlander,['schilderij'],[],,
497,inlander,Q20434128,,,schilderij van Henry Inlander,['schilderij'],[],,
498,inlander,Q23698534,,,schilderij van Henry Inlander,['schilderij'],[],,
499,inlander,Q23698830,,,schilderij van Henry Inlander,['schilderij'],[],,
500,inlander,Q27971432,,,schilderij van Henry Inlander,['schilderij'],[],,
501,inlander,Q28549245,,,schilderij van Henry Inlander,['schilderij'],[],,
502,inlander,Q28563799,,,schilderij van Henry Inlander,['schilderij'],[],,
503,inlander,Q50821493,,,schilderij van Henry Inlander,['schilderij'],[],,
504,inlander,Q52237339,,,schilderij van Henry Inlander,['schilderij'],[],,
505,inlanders,Q112845940,Gevecht tussen Nederlandse militairen en inlanders,,['schilderij van anonieme schilder'],['schilderij'],[],,
506,inlanders,Q100341039,Beeldgroepen van Inlanders uit den Indischen archipel,,['Tentoonstelling uit 1918'],['tijdelijke tentoonstelling'],[],,
507,inuit,Q189975,Inuit,"['Inuït', 'Inuk']","[""naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden""]","['etnische groep', 'volk']","[""eskimo's""]",inuit,True
509,inuit,Q1128374,Inuit Ataqatigiit,"['Inuitgemeenschap', 'Inuit Ataqatigiit-partij']",['politieke partij uit Groenland'],['politieke partij'],[],,
510,inuit,Q4532729,eskimonologie,['inuitologie'],"Wetenschap van de taal, literatuur en cultuur van de Eskimo (Inuit)",['regiostudies'],[],eskimos,True
512,inuit,Q100341703,Canadese Inuit Kunst,,['Tentoonstelling uit 2017'],"['tentoonstelling', 'tijdelijke tentoonstelling']",[],,
513,inuit,Q1091412,Inuit Tapiriit Kanatami,,['organisatie uit Canada'],['organisatie'],[],,
514,inuit,Q22444905,Inuit Islet,,['eiland in  Canada'],['eiland'],[],,
515,inuit,Q888553,Kalaallit,['Groenlandse Inuit'],['etnische groep'],['etnische groep'],['Groenlandse Inuit'],,
516,inuit,Q887850,Groenlandse Inuit,,['etnische groep'],['etnische groep'],['Inuit'],,
517,inuit,Q56491972,Inuit post-colonial gender relations in Greenland,,['proefschrift'],['proefschrift'],[],,
518,inuit,Q104502052,Inuit Ataqatigiit Inuusuttaat,,,['politieke partij'],[],,
519,inuk,Q189975,Inuit,"['Inuït', 'Inuk']","[""naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden""]","['etnische groep', 'volk']","[""eskimo's""]",inuit,True
521,inuk,Q47465549,Inuk,,['achternaam'],['familienaam'],[],,
522,inuk,Q22444914,Inuk Mountain,,['berg in Canada'],['berg'],[],,
523,inuk,Q57503023,INUK (2018-2019),,['podiumkunstenproductie'],['theaterproductie'],[],,
524,inuk,Q57509560,INUK (2017-2018),,['podiumkunstenproductie'],['theaterproductie'],[],,
525,islamiet,Q47740,moslim,"['Mohameddanen', 'Mohammedaan', 'Moeslim', 'Mohammedanen', 'Moslima', 'Islamieten', 'Islamiet', 'Moslem', 'Moslims']",['aanhanger van de Islam'],['religieuze identiteit'],[],,
526,islamieten,Q47740,moslim,"['Mohameddanen', 'Mohammedaan', 'Moeslim', 'Mohammedanen', 'Moslima', 'Islamieten', 'Islamiet', 'Moslem', 'Moslims']",['aanhanger van de Islam'],['religieuze identiteit'],[],,
527,jap,Q1192767,Jap,,,"['pejoratief', 'afkorting']",[],,
528,jap,Q173712,JAP,,,['motorfietsfabrikant'],[],,
529,jap,Q3133637,Invincible-JAP,,['motorfietsmerk uit Australië'],['historische motorfietsfabrikant'],[],,
530,jap,Q2294900,Harding-JAP,,['motorfietsmerk uit Frankrijk'],['historische motorfietsfabrikant'],[],,
531,jap,Q2369794,King-JAP,,['motorfietsmerk uit Duitsland'],['historische motorfietsfabrikant'],[],,
532,jap,Q54898510,JAP-NF,,['cellijn van een Homo sapiens'],"['cellijn', 'getransformeerde cellijn']",[],,
533,jap,Q161652,japanners,"['Japanner', 'Jap', 'Japanse beschaving', 'Japanse bevolking']",['etnische groep'],['etnische groep'],['Oost-Aziaten'],,
534,jap,Q58150158,1 Jap. Sicheltanne,,,['natuurmonument in Duitsland'],[],,
535,jap,Q3156859,JAP,,['single van Abingdon Boys School'],['single'],[],,
536,jap,Q106021863,Jap-Peter-Hansen-Wai,,"['straat in Sylt, Duitsland']",['straat'],[],,
537,jappen,Q2145880,De Jappen vallen aan,,['stripalbum van Georges Troisfontaines'],['stripalbum'],[],,
538,jappenkamp,Q2432369,jappenkamp in Nederlands-Indië,['Jappenkampen in Nederlands-Indie'],['Japanse interneringskampen'],[],['concentratiekamp'],,
539,jappenkamp,Q70320605,Jappenkamp in Makassar,['kamp Makassar'],,"['concentratiekamp', 'jappenkamp in Nederlands-Indië']",[],,
540,jappenkamp,Q71859469,Vrouwenkamp Adek,"['kamp Adek', 'Adek-kamp in Batavia', 'ADEK']",Jappenkamp gevestigd rond het Algemeen Delisch Emigratie-Kantoor,"['interneringskamp', 'jappenkamp in Nederlands-Indië']",[],,
541,jappenkamp,Q62498853,kamp Ambarawa,,voormalig jappenkamp voor burgers,['jappenkamp in Nederlands-Indië'],[],,
542,jappenkamp,Q9073603,Categorie:Persoon in een Jappenkamp,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
543,jappenkamp,Q83755965,kamp Ambon-stad,,Jappenkamp,['jappenkamp in Nederlands-Indië'],[],,
544,jappenkampen,Q2432369,jappenkamp in Nederlands-Indië,['Jappenkampen in Nederlands-Indie'],['Japanse interneringskampen'],[],['concentratiekamp'],,
545,japs,Q7580203,Spratleys Japs,,['muziekgroep uit Verenigd Koninkrijk'],['muziekgroep'],[],,
546,kaffer,Q1285250,Kaffer,,"['betekent ongelovige, ook wel voor sukkel of lomperik, en een scheldwoord']",[],[],kaffir,True
548,kaffer,Q37434373,Kaffer,,['achternaam'],['familienaam'],[],,
549,kaffers,Q63313831,,,uitgave van De Kaffers aan de zuidkust van Afrika (1810 edition),"['editie, versie of vertaling']",[],,
550,kaukasisch,Q7129609,Kaukasisch ras,['Kaukasische ras'],['antropologische term'],['menselijk ras'],['mens'],white,True
551,kaukasisch,Q2088141,Kaukasisch Imamaat,"['Kaukasische imamaat', 'Kaukasische lmamaat']",,"['staat', 'historisch land']",[],,
552,kaukasisch,Q2655106,Pharasmanes II of Iberia,['Parsman II van Iberie'],staatshoofd uit Kaukasisch Iberië (-132),['mens'],[],,
553,kaukasisch,Q2096913,Rev I van Iberië,['Rev I de Juiste'],monarch uit Kaukasisch Iberië (?-216),['mens'],[],,
554,kaukasisch,Q177076,Kaukasisch Albanië,,['historisch land'],"['historisch land', 'satrapie']",[],,
555,kaukasisch,Q1280770,Armazi,,nederzetting in Kaukasisch Iberië,['woonplaats'],[],,
556,kaukasisch,Q58826,Kaukasisch Emiraat,"['Kaukasus Emiraat', 'Kaukasusisch Emiraat']",,['terroristische organisatie'],[],,
557,kaukasisch,Q171795,Abchaziërs,['Abchazen'],Noord-Kaukasisch volk,"['volk', 'etnische groep']",[],,
558,kaukasisch,Q3313083,Mihrdat IV of Iberia,"[""Mitridates IV d'Ibèria""]",monarch uit Kaukasisch Iberië,['mens'],[],,
559,kaukasisch,Q2747323,Mihrdat V of Iberia,"[""Mitridates V d'Ibèria""]",monarch uit Kaukasisch Iberië (?-447),['mens'],[],,
560,kaukasische,Q7129609,Kaukasisch ras,['Kaukasische ras'],['antropologische term'],['menselijk ras'],['mens'],white,True
561,kaukasische,Q5602078,Kaukasische Grieken,,,['geïsoleerde groep mensen'],[],,
562,kaukasische,Q169921,Kaukasische talen,"['Kaukazische talen', 'Kaukasische taal']",['taalfamilie'],['taalfamilie'],['menselijke taal'],,
563,kaukasische,Q2528872,Kaukasische wisent,,['ondersoort uit de soort wisent'],['uitgestorven taxon'],[],,
564,kaukasische,Q55354560,Kaukasische volkeren,,['tentoonstelling'],['tijdelijke tentoonstelling'],[],,
565,kaukasische,Q38576,Kaukasische owcharka,,['hondenras'],['hondenras'],[],,
566,kaukasische,Q2088141,Kaukasisch Imamaat,"['Kaukasische imamaat', 'Kaukasische lmamaat']",,"['staat', 'historisch land']",[],,
567,kaukasische,Q330756,Transkaukasische Federatieve Republiek,"['Trans-Kaukasische Federatieve Democratische Republiek', 'Trans-Kaukasische Federatieve Republiek', 'Kaukasische Federatie', 'Trans-Kaukasische Federatie', 'Transkaukasische Federatie']",,['niet-erkende staat'],[],,
568,kaukasische,Q42432142,Kaukasische Vleugelnoot (Pterocarya fraxinifolia),,"['opmerkelijke boom in Jette, België']",['bijzondere boom'],[],,
569,kaukasische,Q1968519,Kaukasische Inheemse Cavaleriedivisie,,"['Bekende Kaukasische cavaleriedivisie, beter bekend als de ""Wilde Divisie""']",['divisie'],[],,
570,knecht,Q1237356,knecht,"['Meesterknecht', 'Gregario', 'Superknecht']",['wielrennen'],[],[],,
571,knecht,Q57509271,"Arlecchino, knecht zonder meesters (1997-1998)",,['podiumkunstenproductie'],['theaterproductie'],[],,
572,knecht,Q113974055,Sammlung Knecht,,,['kunstverzameling'],[],,
573,knecht,Q57507224,"Meneer, de knecht en fatalist (1994-1995)",,['podiumkunstenproductie'],['theaterproductie'],[],,
574,knecht,Q17275857,Hopman Ulrich of de bedrogen gierigheid: Godefroy en zijn knecht verjagen in vermomminghopman Ulrich,,['pastel van Cornelis Troost'],['pastel'],[],,
575,knecht,Q5060555,boerenknecht,"['knecht', 'landarbeider']",['beroep'],['beroep'],"['arbeider', 'landarbeider']",,
576,knecht,Q108839849,Helen Drenth,"['Helen M. Drenth', 'Helen M. Drenth-Knecht', 'Helen Drenth-Knecht']",['Nederlands kunstverzamelaar (1935)'],['mens'],[],,
577,knecht,Q2487928,Belindor en zijn knecht,,['hoorspel van Peter van Gestel'],['hoorspel'],[],,
578,knecht,Q114719888,"Rokende mannen in een schuur, met een officier en een knecht op de voorgrond",,['schilderij van Simon Kick'],['schilderij'],[],,
579,knecht,Q108839781,Collectie Knecht-Drenth,,['kunstwerken verzameld door het echtpaar Helen Drenth en Tijmen Knecht'],['kunstverzameling'],[],,
580,knechten,Q83363195,Knechten,,['achternaam'],['familienaam'],[],,
581,knechten,Q1219981,De twaalf luie knechten,,['literair werk'],"['literair werk', 'sprookje']",[],,
582,knechten,Q27010685,"Portret van moeders, knechten en kinderen van het Leprooshuis in Rotterdam",,['schilderij van Pieter Hoevenaar'],['schilderij'],[],,
583,knechten,Q90374296,Zwarte Knechten,,"['deel van de stad Utrecht, Nederland']",['buurt of wijk'],[],,
584,knechts,Q83495920,Knechts,,['achternaam'],['familienaam'],[],,
585,knechts,Q1219428,De zes dienaren,"['De Zes Dienaren', 'De zes getrouwe knechts']",['sprookje'],['sprookje'],[],,
586,knechts,Q30661067,Großer Knechts-Berg,,"['heuvel in Noordrijn-Westfalen, Duitsland']",['heuvel'],[],,
587,knechts,Q31340448,Kleiner Knechts-Berg,,"['heuvel in Noordrijn-Westfalen, Duitsland']",['heuvel'],[],,
588,knechts,Q31337297,Knechts-Berge,,['heuvel in Duitsland'],['heuvelgroep'],[],,
589,knechts,Q101208187,De zes getrouwe knechts,,['Nederlandse vertaling uit 1870'],"['editie, versie of vertaling']",[],,
590,koelie,Q548135,koelie,,['ongeschoolde arbeiders voor zwaar handwerk afkomstig uit Azië'],['bezigheid'],['medewerker'],coolie,True
591,koelies,Q104680922,"De miljoenen uit Deli, koelies en planters op de tabaksplantages op Oost-Sumatra rond 1900",,,['tijdelijke tentoonstelling'],[],,
592,lagelonenland,Q2639564,lagelonenland,,,[],['land'],,
593,lilliputter,Q2419953,dwerg,['lilliputter'],['informele term voor een mens met dwerggroei'],[],['mens'],lilliputian,True
594,lilliputter,Q110301126,Kunstaardewerkfabriek De Lilliputter,['De Lilliputter'],,['keramiekfabriek'],[],,
595,madras,Q1352,Chennai,['Madras'],['hoofdstad van de Indiase deelstaat Tamil Nadu'],"['stad', 'grote stad', 'miljoenenstad', 'cluster']",[],madras,True
596,madras,Q6728464,"Madras, Mpumalanga",,['stad in Zuid-Afrika'],['town'],[],,
597,madras,Q3534941,Koyambedu,,"buitenwijk in Madras, India",['buitenwijk'],[],,
598,madras,Q3537400,,,"buitenwijk in Madras, India",['buitenwijk'],[],,
599,madras,Q6932073,,,"buitenwijk in Madras, India",['buitenwijk'],[],,
600,madras,Q3133187,,,"buitenwijk in Madras, India",['buitenwijk'],[],,
601,madras,Q5148870,,,"buitenwijk in Madras, India",['buitenwijk'],[],,
602,madras,Q3530475,,,"buitenwijk in Madras, India",['buitenwijk'],[],,
603,madras,Q4746424,Aminjikarai,,"wijk in Madras, India",['buurt of wijk'],[],,
604,madras,Q4738370,Alwarthirunagar,,"wijk in Madras, India",['buurt of wijk'],[],,
605,marron,Q16735433,Javier Marrón Jiménez,['Javier Marron Jimenez'],['Spaans taekwondoatleet'],['mens'],[],,
606,marron,Q1709371,José Luis Vallarta Marrón,['Jose Luis Vallarta Marron'],,['mens'],[],,
607,marron,Q108960293,Marron Vrouwen Netwerk,,['Surinaamse organisatie'],['organisatie'],[],,
608,marron,Q6773021,Marron Valley,,['nederzetting in Canada'],['bevolkte plaats'],[],,
609,marron,Q110347727,,,"begraafplaats in Yvoy-le-Marron, Frankrijk",['begraafplaats'],[],,
610,marron,Q107414578,Tuka,,marron dans- en muziekstijl in Suriname,"['muziekgenre', 'danstype']",['dans'],,
611,marron,Q49053544,Mount Marron,,['berg in Verenigde Staten van Amerika'],['berg'],[],,
612,marron,Q15242149,Le Marron,,"['restaurant in Heumen, Nederland']",['restaurant'],[],,
613,marron,Q1169653,Yvoy-le-Marron,,['gemeente in Frankrijk'],['Franse gemeente'],[],,
614,marron,Q111601897,Saamaka Marron Museum,,['museum in Suriname'],['museum'],[],,
615,marrons,Q445485,marrons,"['maroon', 'boslandcreool', 'bosneger', 'marons', 'bosnegers']","['gevluchte Afrikaanse slaven in Zuid-Amerika, en hun nakomelingen']","['etnische groep', 'groep mensen', 'woordenboekpagina op Wikipedia']",[],maroons,True
616,marrons,Q1903204,Marrons van Suriname,,['Suriname'],['etnische groep'],['marrons'],maroons,True
617,marrons,Q13747796,grondenrechten van de inheemsen en marrons in Suriname,,,['recht'],[],,
618,marrons,Q14632167,Inwijdingsrituelen van Surinaamse Marrons,,,['aspect van een geografische regio'],[],maroon,True
619,marrons,Q3346785,Nèg' Marrons,,['muziekgroep uit Frankrijk'],['muziekgroep'],[],,
620,marrons,Q2448992,granman,['gaanman'],Surinaams opperhoofd bij marrons en inheemsen,['titel'],[],,
621,marrons,Q59596764,Philip Samuel Stoelman,,als burgerkapitein betrokken bij de opsporing van de Marrons in Suriname,['mens'],[],,
622,marrons,Q111030552,Emanuel Jacobi,,Surinaams marrons leider,['mens'],[],,
623,marrons,Q3233727,Les Marrons,,['boek van Louis Timagène Houat'],['geschreven werk'],[],,
624,marrons,Q23755307,Morne Negres Marrons,,['berg in Dominica'],['berg'],[],,
625,medicijnman,Q42042,sjamanisme,"['medicijnman', 'sjamanen', 'shamanisme']",,['religie'],[],,
626,medicijnman,Q266750,medicijnman,,,['beroep'],"['genezer', 'religieus leider']",medicine man,True
627,medicijnman,Q28106968,Medicijnman,,['schilderij van J. Vreugdenhil'],['schilderij'],[],,
628,medicijnman,Q13430620,Arts en medicijnman,,,['tijdelijke tentoonstelling'],[],,
629,medicijnman,Q77046403,Josie Billie,,Amerikaans medicijnman (1887-1980),['mens'],[],,
630,medicijnman,Q110368731,Staf medicijnman,,['staf van een onbekende kunstenaar'],['kunstwerk'],[],,
631,medicijnman,Q26822103,Sword Bearer,,medicijnman,['mens'],[],,
632,medicijnman,Q110368077,Stoeltje medicijnman,,['stoel van een onbekende kunstenaar'],['kunstwerk'],[],,
633,medicijnman,Q436655,Black Elk,,medicijnman,['mens'],[],,
634,mesties,Q106713,Mesties,['Mestiezen'],['term om een \u200b\u200bpersoon aan te duiden met Iberisch en inheems Amerikaans bloed'],['Casta'],[],mestizo,True
636,mesties,Q110055515,"Spanjaard en mesties, kasteschilderij",,['schilderij van Miguel Cabrera'],['schilderij'],[],,
637,mestiezen,Q106713,Mesties,['Mestiezen'],['term om een \u200b\u200bpersoon aan te duiden met Iberisch en inheems Amerikaans bloed'],['Casta'],[],mestizo,True
639,metis,Q89197458,Friskolan Metis,,"['Zweedse schooleenheid in Skara, Zweden']",['Zweedse school-eenheid'],[],,
640,metis,Q62033842,Bureau Vrouwenhulpverlening Nederland Metis,,['Nederlandse vrouwen- of meisjesorganisatie'],['organisatie'],[],,
641,metis,Q89903220,Friskolan Metis,,"['basisschool in  Skara, Zweden']",['basisschool'],[],,
642,metis,Q22699415,Metis Island,,['eiland in  Canada'],['eiland'],[],,
