term,source_1,source_2,source_3,wm
negro,"['demonym', 'African people', 'negro', 'ethnic slur']","['Designates the styles, culture, and heritage of  Americans of African descent in North America. The styles capture the essence of the African American experience and how personal and political rebellion and triumphs over prejudice and social adversity have enriched and contributed to the music, art, and literature of American culture as a whole.', 'Afro-American', 'Black (African American)', 'African American', 'Negro (African American)']","['coloured', 'Black', 'a person with African ancestry,  and  are archaic and pejorative today', 'negro', 'Negroid', 'African-American', 'Negro', 'colored', 'having skin rich in melanin pigments']","['In Dutch, this term originates from the two terms “bosch,” meaning “wild land” and “neger” (see also “Negro”). It was a pejorative term for Africans (and their descendants) who escaped from slavery in Suriname and the Guyanas and settled in inaccessible, interior/mountainous regions, from which they fought against colonization. Some people in Suriname and the Netherlands still use the term interchangeably with “Maroon” and “Boslandcreool” While the term “Maroon” is itself contested, there is broader popular and academic agreement about its appropriateness. (see also “Maroon”).', '“Mongoloid” is an outdated and offensive term used to describe both a so-called racial type and a person with the genetic condition Down Syndrome. As racial type, the terms emerged from 18th and 19th century studies of racial difference. The Mongoloid or Mongolian race was the umbrella term used to describe diverse indigenous peoples from East Asia, South East Asia, and the Artic region of North America. Like the other two presumed large racial groups, Caucasoid (Caucasian) and Negroid (Negro), this term is outdated and in general regarded as derogatory. The term is also used to describe people with the genetic condition Down Syndrome, due to the presumed similarity in facial features to the so-called Mongolian race. In modern day usage the term is used as a curse word to describe someone regarded as retarded.', 'As an identity category, “Black” has different meanings in different contexts but in general it refers to people of African descent. The term has come to replace the earlier racial category of Negro (see also “Negro”) now regarded as derogatory by many. Within the Netherlands “Black” is used most often to describe people of African or Afro-Caribbean origin. In Britain the term is used similarly; however it has also been used as a socio-political identity category to unite diverse non-White groups of people, regardless of their ethnic or geographical origins, who had suffered racism. This usage is less common in the Netherlands. In the US, the term primarily describes African Americans; “people of color” is also used as a political identity category that includes all non-White people. Rooted primarily in the North American Civil Rights and Black Power Movements, and other global anti-racism struggles, “Black” has become an identity category of pride for many people of African descent, challenging earlier stereotypes associated with Black people.', 'This term derives from the Latin word “niger,” meaning black. In the Netherlands, the term has been used since the 17th century to refer to Black people in and from (sub-Saharan) Africa. Not much later, it came into use to describe enslaved people, and became associated with the racial sciences of the 18th and 19th centuries (see also “Caucasian” and “Race”). In the 20th century, “Negro” was used in a racial typology that supported stereotypes about Black people, but functioned simultaneously, even contradictorily, as part of emergent anti-colonial struggles and increasing Black consciousness. Nowadays, the word is widely regarded as derogatory including by Black and other activists, academics among others.']"
traditional,[],"[""In the US, sites that are eligible for inclusion in the National Register because of their association with cultural practices or beliefs of a living community that are rooted in that community's history, and are important in maintaining the continuing cultural identity of the community."", 'traditional cultural properties', 'traditional cultural places', 'traditional cultural property', 'TCP']","['traditional morality', 'traditional', 'consisting of or derived from tradition', 'traditional history']","['The term itself is not problematic, but can take on a negative connotation when used in opposition to other terms such as “modern” and “progress.” Several scholars have argued that this dichotomy emerged as part of a Eurocentric intellectual and colonial project, which reinforced the idea that non-European cultures were pre-modern and static as opposed to a modern, progressive Europe. This belief established a hierarchy of cultures and peoples, where West was equated to modern and non-West to traditional. This divide still exist today as used in terms such as “traditional arts and cultures” and is commonly associated with ethnographic museums.']"
mestizo,"['multiracial people', 'casta', 'mestizo']",[],"['a person of mixed racial ancestry (especially mixed European and Native American ancestry)', 'mestizo']","['This term, like “full blood” and “half-breed,” emerged in association with 18th- and 19th-century ideas of racial difference. In this period, racial sciences, based on the idea of biologically different races, were at their peak (see also “Race”). Blood, it was thought then, was also regarded as carrying hierarchical traits, with some blood being superior to others. The term is usually applied to someone of mixed White European and Non-White descent. This term is similar to other terms (in this list) such as “mulatto” and “mestizo”.']"
exotic,[],[],"['protons, neutrons, electrons and all their exotic variants', 'strikingly strange or unusual', 'the exotic landscape of a dead planet', 'exotic plants in a greenhouse', 'being or from or characteristic of another place or part of the world', 'exotic cuisine', 'exotic', 'alien customs', 'alien', 'an exotic hair style']","['This term derives from the Latin word “Oriënt”, meaning east. Historically, the term came to be used in Europe to describe people or things from Asia. “Oriental” gained widespread critique after the 1978 publication of Edward Said’s seminal work Orientalism, which critiqued Euro-American patronizing representations of the (Middle) East. While the term is contested for being geographically Eurocentric, and especially for its romanticizing and stereotypical image of Asian people as mysterious, “exotic” and foreign, it is still widely used.', 'This term is derived from the Ancient Greek word “exōtikós,” literally meaning “from the outside.” It entered the Dutch language with the meaning of foreign/alien, which it still has today. The term has become intertwined with ideas about the (racialized and sexualized) Other. The term “exotic” is commonly used to describe plants and animals, but is also used for people (usually people of color), where it has a connotation of being different from the norm, especially in reference to appearance and name (for example “what an exotic name!”). Sometimes it has a sensual connotation.']"
race,"['race (human categorization)', 'classification system', 'identity']","['races (groups of people)', 'peoples (races)', 'race (group of people)', 'Identification of a group of people as distinct from other groups on the basis of physical or socially defined characteristics, such as the color of skin or language.']","['race', 'some biologists doubt that there are important genetic differences between races of human beings', 'people who are believed to belong to the same genetic stock']","['“Ethnicity” refers to the shared social, cultural or historical experiences and practices of a group of people, for example, language, religion or dress, and usually a national or regional background. “Ethnic group” describes the people having these shared features. While it may seem a neutral category it often is used to describe something or someone different from the norm or foreign, for example in “ethnic food” or “ethnic music.” When used to describe people, the term is normally associated with minority groups, although everyone has an ethnic identity. “Ethnicity” is sometimes confused with race and is incorrectly used by many as an alternative term, sidestepping the reference in race to biological differences.', '“Race” is a debated term that refers to the categorization of humans based on physical features, including skin color. In racial thinking the color of one’s skin is regarded as a sign of incommensurable difference between groups, including a hierarchy in aptitude, abilities, even behavior and development. According to 18th- and 19th-century racial sciences, humans were divided into different groups, arranged hierarchically. These typologies reinforced colonial ideologies of difference, with the White European at the top of a racial hierarchy (see also “Caucasian” and “Negro”). While race is not a biological fact, it has social consequences, for example in discrimination, prejudice and inequality. Racism, therefore, should be understood as a form of prejudice and discrimination based on the presumed superiority of one group over another.']"
transvestite,['cross-dresser'],"['General term for lesbian, gay, bisexual, or transgender / transsexual / transvestite attractions or behavior.', 'LGBT', 'LGBTQ+', 'GLBT', 'LGB', 'lesbian, gay, bisexual, and transgender', 'L.G.B.T.Q.', 'LGBTQ', 'lesbian, gay, bisexual, transgender/transsexual/transvestite']","['receiving sexual gratification from wearing clothing of the opposite sex', 'cross-dresser', 'transvestite', 'transvestic', 'someone who adopts the dress or manner or sexual role of the opposite sex']","['This is an umbrella term used to describe transgender or transsexual sexualities. “Transgender” and “transsexual” describe people whose gender identity and expression differs from what is understood to be typical to the sex they have been assigned at birth. As an overarching term “transgender” can describe a variety of gender identity and expressions, for example cross-dressing. “Transsexual” is the preferred term by some who intend to, or have permanently, changed their bodies in alignment with their gender identity.']"
western,"['Western world', 'geographical area', 'group']",[],"['western', 'relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts', 'the western world', 'western thought']","['The West is an ideological, historical, economic and geographical concept, the meaning of which has shifted over time. The term represents both a mental and physical division of the world that categorizes and contrasts people, cultures, religions and regions, placing them in a hierarchy. It is often contrasted with “niet-Westers” (not Western). Other terms with similar connotations include “Third World” (see also “Third World”), “developed”/”undeveloped,” etc.']"
footmen,[],[],[],"['“Servant”, like other terms such as “Page”, “Footmen” and “Baboo”, are frequently occurring terms in many museums databases and can most often be found in the descriptions of paintings and photographs. These interrelated terms describe a person employed in another’s household to do diverse domestic duties such as cooking and cleaning, or to be someone’s attendant. The terms do not in themselves suppose gross exploitation, even if they describe a hierarchical relation in class and power, sometimes marked by exploitation. The multiple and complex relations that servants may have with their masters makes any too easy judgement of the role of the servant or conditions under which they lived an incautious one. “Page” describes a young male servant or attendant, working for a nobleman, or from the Renaissance as servants for fashionable women and men. Referring to someone as servant or page today is regarded as demeaning or insulting in some circles. Maintaining the term in the description of historic paintings and photographs may however be recommended in some situations, especially when the person’s name is not known, since it conveys the power relations more transparently.']"
ethnicity,"['property', 'ethnicity']","['ethnic', 'ethnic group identity', 'The perception of identity, distinctiveness, and significance of a group that shares a linguistic group, religious belief, nationality, cultural tradition, or perceived physiological characteristics.', 'ethnicity', 'ethnic identity']","['an ethnic quality or affiliation resulting from racial or cultural ties', 'ethnicity has a strong influence on community status relations', 'ethnicity']","['“Ethnicity” refers to the shared social, cultural or historical experiences and practices of a group of people, for example, language, religion or dress, and usually a national or regional background. “Ethnic group” describes the people having these shared features. While it may seem a neutral category it often is used to describe something or someone different from the norm or foreign, for example in “ethnic food” or “ethnic music.” When used to describe people, the term is normally associated with minority groups, although everyone has an ethnic identity. “Ethnicity” is sometimes confused with race and is incorrectly used by many as an alternative term, sidestepping the reference in race to biological differences.']"
batavia,"['capital city', 'toponym', 'Batavia']",[],[],"['Bombay is the colonial toponym—the name given to a geographic place under colonial rule—for the Indian city of Mumbai. The term was first used in the 16th century. The renaming of places is a common occurrence, both historically and in the present, often resulting from different political shifts over time. This was an important ideological practice, both during the colonial period and during decolonization. This practice continues today. On claiming territory, colonizers named cities and towns after important people or after their own places. Renaming—either restoring earlier names or creating new names— was an important practice for newly formed nations in the decolonization process. The use of names that were assigned under colonization can be painful for some, as a legacy of colonialism. The city of Mumbai continued to be called Bombay until long after independence but was officially changed in 1995. Calcutta (now Kolkata) and Chennai (Madras) are similar colonial toponyms that were Anglicized during the colonial period. Other contested colonial toponyms include: Jakarta (formerly Batavia), Myanmar (formerly Burma) and Zimbabwe (Southern Rhodesia).']"
aboriginal,"['ethnic group', 'population group', 'indigenous people', 'people', 'minority group']","['indigenous person', 'aborigines', 'indigenous populations', 'indigenes', 'indigenous people', 'indigenous peoples', 'aboriginal peoples', 'people, indigenous', 'The original, or earliest known, inhabitants of a colony or country.', 'native peoples']","['indigene', 'the Canadian government scrapped plans to tax the grants to aboriginal college students', 'characteristic of or relating to people inhabiting a region from the beginning', 'aborigine', 'native Americans', 'an indigenous person who was born in a particular place', 'aboriginal', 'native', 'the art of the natives of the northwest coast', 'the aboriginal peoples of Australia', 'indigen']","['The term “Aboriginal” stems from the Latin words ab and origine, meaning “from the beginning”, and is a commonly used word, including in museum databases. “Aboriginal” describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also “Indigenous”). However, in Canada, there has been a recent preference for the use of Indigenous. The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as “Aboriginal”, preferring to emphasize other markers of their identity such as language, land and clan relationships. In Canada the term came into general use in the 1980s, when a legal and overarching term was sought to collectively describe the existing—but controversial—categories “Indian,” “Inuit” and “Métis” (see also “Indian” and “Eskimo”).']"
developing nations,[],"['emerging nations', 'Third World', 'Refers to countries with low per capita income and an undeveloped industrial base relative to other countries.', 'countries, developing', 'developing country', 'less-developed countries', 'developing countries', 'developing nations', 'LDCs', 'least-developed countries']",[],"['While still used in everyday speech, the term “Third World” is regarded as a vestige of Cold War politics, when the world was divided into three groups based on political and economic orientations or alliances. “First World” describes the United States and its allies, including Japan, Canada and countries in Western Europe, while nations that were part of the Communist Bloc, including China, USSR, Cuba and countries in Eastern Europe comprised the “Second World.” The term was first used (Alfred Akfred Sauvy 1952) to describe countries that were politically aligned with neither the First nor the Second worlds. “Third World” also became an economic categorization, used to refer to the poorest countries and regions of the world. This included countries in Asia, Africa, Latin America and the Caribbean, many of which were formerly colonized by Europe. An increasing number of people agree that the term is no longer appropriate, as it is not an accurate description of the complexity of the world and because it reinforces a division of the world into Western superiority and non-Western inferiority.']"
dwarf,[],"[""dwarfs'"", ""dwarf's"", 'dwarfs', 'People who are abnormally small in stature.', 'dwarves', 'dwarf']","['nanus', 'dwarf', 'a person who is markedly small', 'midget']","['Dwarfism (Achondroplasie or dwerggroei in Dutch) is a medical or genetic condition for people of short stature. When used outside of a medical context the term is considered offensive. The term dwarf entered the Dutch language in the 14th century, when it had the connotation of monstrous. Satirical portrayals of people of short stature can often be found in (the history of) European art, literature, and film. In 19th- and early 20th-century colonial exhibitions, freak shows, and circuses, dwarfism was seen as a form of being abnormally “other” in very similar ways to the representation of formerly colonized and racialized people. Similar demeaning or insulting terms are “lilliputian” and “pygmy”.']"
