term,source_1,source_2,source_3,wm
homoseksueel,"['seksuele minderheid', 'homoseksualiteit', 'gay', 'seksuele geaardheid', 'LGBTI']",[],"['holtor', 'homo', 'homoseksuele', 'sodemiet', 'homoseksueel persoon', 'homofiel persoon', 'mietje', 'homoseksueel', 'flikker', 'homofiel', 'geïnverteerde', 'gay', 'bruinwerker', 'nicht', 'poot', 'sodemieter', 'reetkever']","[""‘Homoseksueel’ is een medische en juridische term waarmee verwezen wordt naar niet\xad-heteroseksuele seksualiteit. De term als zodanig werd halverwege de 19de eeuw uitgevonden als een abnormale identiteitscategorie om mensen te onderscheiden die seksuele handelingen verrichtten met iemand van hetzelfde geslacht. Homoseksualiteit is, en wordt nog steeds op verschillende plaatsen in de wereld beschouwd als zondig, crimineel of een geestesziekte. De term wordt soms geringschattend of als scheldwoord gebruikt, en dan vooral in de afkorting ‘homo'.""]"
batavia,"['Batavia', 'toponiem', 'hoofdstad']",[],[],"['‘Bombay’ is het koloniale toponiem – de (nieuwe) naamgeving van geografische plaatsen door koloniale heersers – van de Indiase stad Mumbai. De term werd voor het eerst gebruikt in de 16de eeuw. Het hernoemen van plaatsen komt vaak voor, zowel vroeger als nu, en vaak vanwege politieke veranderingen. Zowel onder kolonialisme als tijdens dekolonisatie, maar ook nu nog, is dit een belangrijke ideologie. Koloniale overheersers noemden steden en andere plaatsen naar belangrijke figuren of plekken uit eigen land. Het hernoemen van plekken – dan wel door nieuwe namen te geven dan wel oude namen in ere te herstellen – is een belangrijk symbool voor nieuwe naties. De naam uit het koloniale tijdperk kan voor sommige inwoners beledigend zijn, omdat het een pijnlijke herinnering is aan het kolonialisme. Ook toen Mumbai onafhankelijk was geworden, bleef men het nog lang Bombay noemen. Calcutta (nu Kolkata) en Chennai (Madras) zijn vergelijkbare voorbeelden van koloniale toponiemen die verengelst werden tijdens de koloniale periode. Andere koloniale toponiemen zijn onder meer: Jakarta (Batavia), Myanmar (Birma) en Zimbabwe (Zuid\xad-Rhodesië).']"
stam,"['stam', 'etnische groep', 'sociale groep']","['stammen', 'volksstammen', 'stam', 'Sociale groepen waarvan de leden geacht worden af te stammen van een gemeenschappelijke voorouder, en die bestaan uit talrijke families, geslachten of dorpen. Meestal bewonen ze een specifiek geografisch gebied, zijn ze homogeen op cultureel, religieus en taalkundig gebied en zijn ze politiek verenigd door één leider of hoofdman.']","['een lokale stam', 'volksstam met eigen gewoonten en een eigen gebied', 'stam', 'volksstam', 'soortgenoten', 'sibbe', 'groep mensen met dezelfde voorvaders', 'clan', 'nomadische stammen', 'groep mensen']","['De term ‘stam’ wordt vaak geassocieerd met een zogenaamde niet\xad complexe samenleving met een eenvoudige politieke structuur. Hoewel dit feit op zich niet wordt betwist, heeft de term de bijklank van primitief, simpel en wild gekregen. Het wordt voornamelijk geassocieerd met niet\xad Europese mensen en culturen. Het lastige aan de term is dat sommige groepen de term juist omarmen, zoals de ‘Native North American Tribal Councils’. ‘Stam’ komt ook voor in de Koran en is daarom altijd een geaccepteerde term geweest in de Arabische wereld. Zelfs dan wordt deze term betwist vanwege de negatieve connotaties. De term is zeer zelden gebruikt om etnische groepen in Europa te beschrijven, zoals bijvoorbeeld het Sami\xad-volk of (in het verleden) de Keltische volken. In de afgelopen jaren is het positief gebruikt in mode\xad- en populaire cultuur om te verwijzen naar stijl, bijvoorbeeld ‘fashion tribes’']"
eerste wereld,"['classificatiesysteem', 'groep', 'eerste wereld']",[],[],"[""Hoewel de term ‘Derde Wereld’ nog steeds voorkomt in alledaags taalgebruik, wordt het beschouwd als een overblijfsel van de Koude Oorlogspolitiek. De wereld werd toen verdeeld in drie groepen op basis van politieke en economische oriëntaties of allianties. De term ‘Eerste Wereld’ beschrijft de Verenigde Staten en hun bond\xad genoten, waaronder Japan, Canada en landen in West\xadEuropa, terwijl landen die deel uitmaakten van het communistische blok, inclusief China, USSR, Cuba en landen in Oost\xadEuropa, de ‘Tweede Wereld’ vormden. ‘Derde Wereld’ werd voor het eerst gebruikt (in een artikel van Alfred Sauvy in 1952) om die landen te beschrijven die politiek georiënteerd waren op de Eerste noch de Tweede Wereld. De term werd ook een economische indeling, die werd gebruikt om te verwijzen naar de armste landen en regio's van de wereld. Dit omvatte landen in Azië, Afrika, Latijns\xadAmerika en het Caribisch gebied, waarvan er velen voorheen door Europa waren gekoloniseerd. Steeds meer mensen vinden dat de term niet langer geschikt is, omdat het geen nauwkeurige beschrijving is van de complexiteit van de wereld en omdat het een verdeling van de wereld suggereert in westerse superioriteit en niet\xadwesterse inferioriteit.""]"
métis,"['Métis', 'etnische groep', 'inheemse bevolking']",[],[],"[""De term ‘Aboriginal' komt van de Latijnse woorden ab en origine, die samen ‘van het begin’ betekenen. ‘Aboriginal' komt vaak voor, onder andere in collectiedatabases van musea, om de oorspronkelijke bewoners van een plek te omschrijven. De term wordt vooral gebruikt om te verwijzen naar inheemse volken in Australië en Canada (zie: Inheems). In Canada heeft men echter recentelijk de voorkeur gegeven aan de term Inheems. ‘Aboriginal’ houdt onvoldoende rekening met de complexiteit en diversiteit van inheemse volken. Veel inheemse volken in beide landen willen geen ‘Aboriginal’ genoemd worden en geven de voorkeur aan andere termen die hun identiteit kenmerken, zoals taal, land en clan relaties. In Canada begon men de term toe te passen in de jaren 1980, toen men een juridische en overkoepelende term zocht om de bestaande – maar controversiële – categorieën ‘indiaan’, ‘Inuit’ en ‘Métis’ te beschrijven (zie: Indiaan en Eskimo).""]"
jap,"['afkorting', 'pejoratief', 'Jap']",[],"['Japanner', 'Jap']","['De term ‘Jappenkampen’ verwijst meestal naar de Japanse kampen in Azië tijdens de Tweede Wereldoorlog, en specifiek naar de kampen in het door Japan, bezette voormalige Nederlands\xad-Indië. Het woord ‘Jap’ is een pejoratieve afkorting van ‘Japanner’, ofwel een Japans persoon. ‘Jappenkamp’ is ook omstreden bij sommige slachtoffers en hun nazaten, omdat zij het gevoel hebben dat de term geen recht doet aan de wreedheden die in de kampen hebben plaatsgevonden. Om die reden heeft men de term ‘Japans concentratiekamp’ als alternatief gesuggereerd.']"
westers,[],[],[],"[""Het ‘westen’ is een ideologisch, historisch, economisch en geografisch concept waarvan de betekenis in de loop der tijd is veranderd. De term ‘westers’ staat voor een mentale en fysieke scheiding van de wereld waarin mensen, culturen, religies en regio's in een hiërarchie van categorieën zijn ingedeeld en wat de onderlinge verschillen onderstreept. De term wordt vaak gebruikt om de tegenstelling met ‘niet\xad-westers’ aan te duiden. Andere termen met vergelijkbare connotaties zijn onder andere ‘Derde Wereld’ (zie: Derde Wereld), ontwikkeld/onontwikkeld, etc.""]"
barbaar,"['barbaar', 'volk']",[],"['kannibaal', 'primitief iemand', 'nero', 'wreedaard', 'stommeling', 'heikneuter', 'pummel', 'primitieveling', 'onmens', 'plaag', 'boerenkaffer', 'onvriendelijke man', 'kinkel', 'vlegel', 'boerenkinkel', 'lomperd', 'kaffer', 'bullebak', 'wilde', 'beest', 'iemand zonder manieren', 'boerenhufter', 'onbeschoft persoon', 'barbaar', 'boerenlul', 'bruut', 'boer', 'boerenkarhengst', 'raudauwer', 'schurk', 'monster', 'de barbaren op de voetbaltribunes', 'woesteling', 'boerenpummel', 'beestmens', 'lomperik', 'plomperd', 'bloedhond', 'pestkop', 'grobbejanus', 'rouwdouw', 'onhandig iemand', 'plebejer', 'iemand die zuigt', 'een barbaar die zijn hond schopt', 'rouwdouwer', 'zeer onbeleefd iemand', 'kwelduivel', 'plaagstok', 'kwelgeest', 'botterik', 'palurk', 'woudezel', 'iemand die anderen pest', 'hufter', 'bloeddorstig persoon', 'hooligan', 'natuurmens', 'sar', 'natuurliefhebber', 'prehistorische mens', 'schelm', 'hork', 'beul', 'plaagal', 'proleet', 'onbeschaafd iemand', 'onbeschoft iemand', 'plaaggeest', 'treiteraar']","[""De term ‘barbaar' komt uit de klassieke oudheid. In het oude Griekenland verwees het naar mensen met een onbekende taal of cultuur. Vanaf de 16de eeuw werden kaarten en reisverslagen gemaakt die naar Noord\xad Afrika verwezen als ‘Barbarije' en naar de inwoners als ‘barbaren'. Deze woorden kregen in de volgende eeuwen een steeds negatievere associatie met piraterij en de slavenhandel en de betekenis van ‘barbaar' veranderde geleidelijk aan in onbeschaafd. Tegenwoordig wordt de term vaak gebruikt om aan te geven dat iets of iemand niet voldoet aan de algemeen aanvaarde normen en waarden, waarmee gewoonlijk de waarden van de hogere sociale klassen worden bedoeld.""]"
allochtoon,"['mens', 'sociale groep', 'allochtoon']",[],"['immigrant', 'de integratie van allochtonen in de Nederlandse samenleving', 'allochtoon']","[""‘Allochtoon’ wordt in het Nederlands gebruikt sinds de 20ste eeuw, oorspronkelijk als een geologische term. Het woord (waarvan het antoniem ‘autochtoon' is) betekent letterlijk ‘van een andere grond/ locatie'. Het werd in de jaren 1970 in Nederland geïntroduceerd als identiteitscategorie, ter vervanging voor ‘immigrant' dat in die tijd een steeds negatievere connotatie kreeg. De term was bedoeld als generieke term om iemand te benoemen die zelf, of waarvan een ouder buiten Nederland geboren was. De term werd echter gesplitst in de subcategorieën ‘westerse’ en ‘niet\xadwesterse’ allochtonen, waarmee een onderscheid gemaakt werd tussen verschillende categorieën buitenstaanders. De term is geleidelijk aan meer en meer gebruikt als synoniem voor mensen die zichtbaar anders lijken, bijvoorbeeld niet\xadwitte mensen. De term is impopulair geworden bij zowel beleidsmakers als het publiek en sommige gemeentes hebben zelfs besloten om het woord niet meer te gebruiken.""]"
neger,"['neger', 'inwonersnaam']",[],"['zwarte', 'negerin', 'roetmop', 'iemand met een donkere huidskleur', 'nikker', 'vrouw met donkere huidskleur', 'neger', 'iemand met donkere huidskleur', 'duivel', 'moor', 'neger of vies persoon']","['‘Neger’ komt van het Latijnse woord ‘niger’, dat zwart betekent. In het Nederlands werd de term vanaf de 17de eeuw gebruikt om te verwijzen naar Zwarte mensen in en uit (sub\xad-Sahara) Afrika. Niet veel later werd het een verwijzing naar tot slaaf gemaakte mensen, en werd het geassocieerd met de raciale wetenschappen van de 18de en 19de eeuw (zie: Kaukasisch en Ras). In de 20ste eeuw werd ‘neger’ gebruikt in een raciale typologie waarmee stereotiepe opvattingen gecreëerd werden over Zwarte mensen. Tegelijkertijd functioneerde het juist als onderdeel van de opkomende anti\xad-koloniale strijd en het toenemende Zwarte bewustzijn. Vandaag de dag wordt de term door zowel Zwarte en andere activisten, academici en anderen als zeer denigrerend beschouwd.', '‘Zwart’ is een identiteitscategorie met verschillende betekenissen in verschillende contexten, maar in het algemeen verwijst het naar mensen van Afrikaanse afkomst. De term is de vroegere raciale categorie ‘neger’ (zie: Neger) gaan vervangen, die nu door velen beschouwd wordt als denigrerend. In Nederland wordt ‘Zwart’ het meest gebruikt om mensen van Afrikaanse of Afro\xad-Caribische oorsprong te beschrijven. Op deze manier gebeurt dit ook in Groot\xad-Brittannië. Daar wordt de term echter ook gebruikt als verschillende niet\xadwitte groepen mensen te verenigen, die allen racistisch bejegend worden (ongeacht hun etnische of geografische afkomst). In Nederland is dat in mindere mate het geval. Ook in de Verenigde Staten verwijst de term vooral naar Afro\xad-Amerikanen: ‘mensen van kleur’ wordt gebruikt als een politieke categorie voor iedereen die niet wit is. Met name door de inspanningen van de Noord\xad-Amerikaanse Civil Rights en Black Power bewegingen, maar ook door de strijd tegen racisme wereldwijd, is ‘Zwart’ een identiteitscategorie geworden waar veel mensen van Afrikaanse afkomst trots op zijn. Daarmee neemt men afstand van eerdere stereotypen waarmee Zwarte mensen geassocieerd worden.', 'In het Nederlands komt de term ‘bosneger’ voort uit de termen ‘bosch’ en ‘neger’ (zie: Neger). Het was een pejoratieve term voor Afrikanen (en hun afstammelingen) die aan de slavernij ontsnapten in Suriname en de Guyana’s en in bergachtige gebieden gingen wonen. Hiervandaan vochten zij tegen kolonisatie. Sommige mensen in Suriname en in Nederland gebruiken de term vandaag de dag als synoniem voor ‘Marron’ en ‘Boslandcreool’ Hoewel de term ‘Marron’ ook betwist wordt, wordt deze beter aanvaard (zie: Marron).', '‘Mongool’ is een ouderwetse en aanstootgevende term die wordt gebruikt als verwijzing naar een zogenaamd raciaal type enerzijds en mensen met de genetische conditie Downsyndroom anderzijds. De term in zijn raciale definitie kwam voort uit de 18de en 19de\xad-eeuwse studies naar raciale verschillen. Het Mongoloïde of Mongoolse ras werd als overkoepelende term gebruikt voor verschillende inheemse volken in Oost\xad-Azië, Zuidoost\xad-Azië en de Arctische regio’s in Noord\xad-Amerika. De term is ouderwets en wordt in sommige situaties beschouwd als beledigend, zoals dat ook het geval is met de andere zogenaamde rassencategorieën ‘Kaukasisch’ en ‘neger’ (zie: Kaukasisch en Neger). De term wordt ook gebruikt voor mensen met het Downsyndroom, omdat hun gelaatstrekken een gelijkenis zouden vertonen met die van mensen van het zogenaamde Mongoolse ras. Vandaag de dag wordt de term als scheldwoord gebruikt voor mensen die ten onrechte worden beschouwd als achterlijk.']"
page,"['huishoudelijke hulp', 'page', 'adellijke titel', 'historisch beroep']",[],"['page', 'jongen als dienaar v.e. edelman']","[""‘Bediende’, ‘page’, ‘knecht’ en ‘baboe’ zijn termen die vaak voorkomen in museumdatabases, en dan met name in de beschrijvingen van schilderijen en foto’s. Deze verwante termen beschrijven een persoon die in andermans huishouden werkzaam is om huishoudelijke taken te verrichten, zoals koken en schoonmaken, of ter assistentie. De termen veronderstellen op zich geen grove uitbuiting ofschoon zij een hiërarchische relatie op basis van klasse en macht beschrijven die soms gekenmerkt wordt door uitbuiting. De veelvoudige en complexe relaties die bedienden kunnen hebben met hun meesters maken het niet makkelijk, zelfs riskant, om een oordeel te vellen over de rol van de bediende of de omstandigheden waaronder deze leefde. De term ‘page' beschrijft een jonge, mannelijke bediende die voor een edelman werkt, of – wanneer het de Renaissance betreft \xad als bediende voor modieuze dames en heren. Vandaag de dag wordt het in sommige kringen als vernederend of beledigend beschouwd om te verwijzen naar iemand als bediende of page. De term noemen in de beschrijving van historische schilderijen of foto’s kan in sommige gevallen echter wel worden aangeraden""]"
eskimo,"['etnische groep', ""eskimo's"", 'volk']","['Eskimo', ""Wordt gebruikt met betrekking tot de inheemse Arctische cultuur vóór contact met Europa. Gebruik termen zoals 'Chugach', 'Inuit' of 'Katlâdlit' voor namen van specifieke, hedendaagse inheemse volkeren.""]","['Eskimo', 'inwoner Groenland']","['De term ‘Eskimo’ (Esquimaux) verwijst naar de verschillende inheemse mensen in de (sub\xad-)Arctische regio’s in Noord\xad-Amerika, Groenland en Noordoost\xad-Siberië. De term is nooit algemeen gebruikt door leden van de gemeenschap om zichzelf in hun eigen taal te beschrijven, omdat ze hun eigen inheemse termen hanteren. Men is het niet eens over de taalkundige oorsprong van het woord; sommigen beschouwen de term als een Franse of Engelse versie van een inheemse term. Vandaag de dag wordt de term beter aanvaard in Alaska dan in Canada en Groenland, waar andere termen de voorkeur hebben en ‘Eskimo’ een pejoratieve betekenis heeft. De term komt nog maar zelden voor in officiëel gebruik. Het is niet eenvoudig om een alternatieve, overkoepelende term te vinden voor alle groepen in het Noordpoolgebied, hoewel ‘Eskimo\xad-Aleut’ gebruikt wordt om de taalfamilie te beschrijven.']"
wit,[],[],[],"['‘Gekleurd’ is een controversiële term waarmee iemand (of een groep mensen) wordt beschreven met een gemengde afkomst: wit Europees enerzijds en niet\xad-wit anderzijds, bijvoorbeeld mensen van Afrikaanse of Aziatische afkomst. In sommige gevallen wordt de term gebruikt voor Zwarte mensen. ‘Gekleurd’ kent verschillende gebruiksgeschiedenissen en betekenissen over de wereld, maar wordt over het algemeen als beledigend beschouwd. In Zuid\xad-Afrika beschrijft de term bijvoorbeeld iemand van gemengde afkomst, waaronder Khoisan, Maleis en Wit. In de VS werd de term voorheen vooral gebruikt voor Zwarte mensen of de Zwarte gemeenschap, en is restrictiever dan de vergelijkbare term ‘iemand/mensen van kleur’. In Nederland wordt de term eveneens voor Zwarte mensen of mensen van gemengde afkomst gebruikt. Er bestaan verschillende aan elkaar verbonden varianten op de term, zoals ‘gekleurd’, ‘met een kleurtje’ of ‘met een donkerdere huidskleur’. Het gebruik hiervan grijpt terug op het raciale idee van witheid als norm, en de termen worden steeds meer beschouwd als ongepast en denigrerend. Steeds meer mensen omarmen de Amerikaanse identiteitscategorie ‘iemand/mensen van kleur’ (in het Engels afgekort tot POC). De categorie ‘Zwarte en niet\xad-Zwarte mensen van kleur’ wordt tegen\xadwoordig ook steeds vaker gebruikt om niet\xad-witte mensen te omschrijven. Hoewel de termen ‘Zwart’ en ‘mensen van kleur’ voor velen algemeen aanvaardbare termen blijven, is het beter om die termen te gebruiken die mensen zelf gebruiken en respectvol vinden.', '‘Wit’ is lange tijd gebruikt om een raciale identiteit te beschrijven op basis van huidskleur, meestal voor bepaalde groepen Europeanen en hun emigrantenpopulatie over de hele wereld. De term wordt geassocieerd met de raciale wetenschappen in de 18de en 19de eeuw. ‘Wit’ is een ideologische categorie die onder meer geassocieerd wordt met Europa’s imperiale expansie. De term heeft de connotatie gekregen van vooruitgang, verfijning en ontwikkeld. Sinds het einde van de 20ste eeuw is er echter aanhoudende kritiek op deze sociale constructie van wit\xad-zijn als norm. Men verzet zich tegen ‘wit’ als identiteitscategorie, die ontstaan is als een rechtvaardiging en bekrachtiging van het discrimineren van niet\xadwitte mensen. In Nederland is er naast de toenemende kritiek op wit\xadzijn discussie over de vraag of men het woord ‘wit’ of ‘blank’ (zie: Blank) moet gebruiken.']"
ontwikkelingsland,"['land', 'geografische locatie', 'regio', 'ontwikkelingsland']","['ontwikkelingsland', 'Verwijst naar landen met een laag inkomen per hoofd van de bevolking en een weinig ontwikkelde industriële basis in vergelijking met andere landen.', 'ontwikkelingslanden']","['ontwikkelingsland', 'land met weinig (economische) groei', 'in de ontwikkelingslanden']","[""Hoewel de term ‘Derde Wereld’ nog steeds voorkomt in alledaags taalgebruik, wordt het beschouwd als een overblijfsel van de Koude Oorlogspolitiek. De wereld werd toen verdeeld in drie groepen op basis van politieke en economische oriëntaties of allianties. De term ‘Eerste Wereld’ beschrijft de Verenigde Staten en hun bond\xad genoten, waaronder Japan, Canada en landen in West\xadEuropa, terwijl landen die deel uitmaakten van het communistische blok, inclusief China, USSR, Cuba en landen in Oost\xadEuropa, de ‘Tweede Wereld’ vormden. ‘Derde Wereld’ werd voor het eerst gebruikt (in een artikel van Alfred Sauvy in 1952) om die landen te beschrijven die politiek georiënteerd waren op de Eerste noch de Tweede Wereld. De term werd ook een economische indeling, die werd gebruikt om te verwijzen naar de armste landen en regio's van de wereld. Dit omvatte landen in Azië, Afrika, Latijns\xadAmerika en het Caribisch gebied, waarvan er velen voorheen door Europa waren gekoloniseerd. Steeds meer mensen vinden dat de term niet langer geschikt is, omdat het geen nauwkeurige beschrijving is van de complexiteit van de wereld en omdat het een verdeling van de wereld suggereert in westerse superioriteit en niet\xadwesterse inferioriteit.""]"
queer,"['seksuele identiteit', 'identiteit', 'genderidentiteit', 'queer', 'overkoepelende term', 'geuzennaam']",[],[],"['Vooral sinds de jaren 1980 heeft ‘queer’ gediend als een overkoepelende term voor seksuele interesses en identiteiten die de sociale normen voor seksueel gedrag uitdagen. De term is niet alleen een afkorting voor ‘LGBT’, maar ook het volledige scala aan menselijke seksualiteit, bijvoorbeeld mensen met seksuele fetisjen of diegenen die polyamorie beoefenen. ‘Queer’ is teruggeclaimd als een politieke en seksuele identiteit waar men trots op kan zijn, waarbij men bewust afstand neemt van eerdere etymologische betekenissen als vreemd, dwars of nieuwsgierig. De term wordt echter nog steeds gebruikt als een negatieve benaming voor mensen die worden beschouwd als ‘seksueel afwijkend’.']"
inlander,"['Inlander', 'inheemse bevolking', 'Indonesiërs']",[],"['de tropenbossen bieden huisvesting aan miljoenen inlanders', 'inlander', 'oorspronkelijke bewoner v.e. land']","['De term ‘inlander’ wordt over het algemeen gebruikt als verwijzing naar inheemse groepen, specifiek naar die in voormalig Nederlands\xad-Indië. De term werd destijds gebruikt door de Nederlandse overheid als een juridische categorie. Hiermee maakte men een onderscheid tussen de mensen in de kolonie, en richtte de samenleving in volgens een op ras gebaseerd systeem. De term is inmiddels in onbruik geraakt, maar komt nog wel voor in databases.', ""‘Inboorling’ wordt vanaf de 13de eeuw in Nederland gebruikt en deelt zijn betekenis –\xad iemand geboren in het land \xad met de term ‘Inlander'. Het is echter een overdrijvende vorm ervan, en heeft de connotaties van primitief en wild. In het begin van de 19de eeuw werd de term door sommige mensen gebruikt om alle Indonesiërs te beschrijven, maar later werd het uitsluitend toegepast op zogenaamde stammen in Nederlandse koloniën. In de Koloniale Tentoonstelling van 1883 in Amsterdam werd de term ‘inboorlingen’ bijvoorbeeld gebruikt om volken uit zowel Indonesië als Suriname te beschrijven. In Suriname zelf werd het nooit gebruikt om de inheemse volken te omschrijven. Tegenwoordig wordt de term vooral geassocieerd met mensen die als primitief worden beschouwd.""]"
madras,"['grote stad', 'stad', 'cluster', 'Chennai', 'miljoenenstad']",[],"['Madras', 'Chennai']","['‘Bombay’ is het koloniale toponiem – de (nieuwe) naamgeving van geografische plaatsen door koloniale heersers – van de Indiase stad Mumbai. De term werd voor het eerst gebruikt in de 16de eeuw. Het hernoemen van plaatsen komt vaak voor, zowel vroeger als nu, en vaak vanwege politieke veranderingen. Zowel onder kolonialisme als tijdens dekolonisatie, maar ook nu nog, is dit een belangrijke ideologie. Koloniale overheersers noemden steden en andere plaatsen naar belangrijke figuren of plekken uit eigen land. Het hernoemen van plekken – dan wel door nieuwe namen te geven dan wel oude namen in ere te herstellen – is een belangrijk symbool voor nieuwe naties. De naam uit het koloniale tijdperk kan voor sommige inwoners beledigend zijn, omdat het een pijnlijke herinnering is aan het kolonialisme. Ook toen Mumbai onafhankelijk was geworden, bleef men het nog lang Bombay noemen. Calcutta (nu Kolkata) en Chennai (Madras) zijn vergelijkbare voorbeelden van koloniale toponiemen die verengelst werden tijdens de koloniale periode. Andere koloniale toponiemen zijn onder meer: Jakarta (Batavia), Myanmar (Birma) en Zimbabwe (Zuid\xad-Rhodesië).']"
derde wereld,"['groep', 'derde wereld']",[],[],"[""Hoewel de term ‘Derde Wereld’ nog steeds voorkomt in alledaags taalgebruik, wordt het beschouwd als een overblijfsel van de Koude Oorlogspolitiek. De wereld werd toen verdeeld in drie groepen op basis van politieke en economische oriëntaties of allianties. De term ‘Eerste Wereld’ beschrijft de Verenigde Staten en hun bond\xad genoten, waaronder Japan, Canada en landen in West\xadEuropa, terwijl landen die deel uitmaakten van het communistische blok, inclusief China, USSR, Cuba en landen in Oost\xadEuropa, de ‘Tweede Wereld’ vormden. ‘Derde Wereld’ werd voor het eerst gebruikt (in een artikel van Alfred Sauvy in 1952) om die landen te beschrijven die politiek georiënteerd waren op de Eerste noch de Tweede Wereld. De term werd ook een economische indeling, die werd gebruikt om te verwijzen naar de armste landen en regio's van de wereld. Dit omvatte landen in Azië, Afrika, Latijns\xadAmerika en het Caribisch gebied, waarvan er velen voorheen door Europa waren gekoloniseerd. Steeds meer mensen vinden dat de term niet langer geschikt is, omdat het geen nauwkeurige beschrijving is van de complexiteit van de wereld en omdat het een verdeling van de wereld suggereert in westerse superioriteit en niet\xadwesterse inferioriteit."", ""Het ‘westen’ is een ideologisch, historisch, economisch en geografisch concept waarvan de betekenis in de loop der tijd is veranderd. De term ‘westers’ staat voor een mentale en fysieke scheiding van de wereld waarin mensen, culturen, religies en regio's in een hiërarchie van categorieën zijn ingedeeld en wat de onderlinge verschillen onderstreept. De term wordt vaak gebruikt om de tegenstelling met ‘niet\xad-westers’ aan te duiden. Andere termen met vergelijkbare connotaties zijn onder andere ‘Derde Wereld’ (zie: Derde Wereld), ontwikkeld/onontwikkeld, etc.""]"
hottentot,"['etnische groep', 'Khoikhoi']",[],"['Hottentots', 'Hottentot']","['De term ‘Hottentot’ verwijst naar de Khoikhoi volken in het westen van Zuid\xad-Afrika. Het is een Nederlandse koloniale term die voor het eerst werd gebruikt in de 17de eeuw en die gebaseerd was op een imitatie van de klank van de taal van de Khoikhoi. ‘Hottentot’ had de connotatie van cultureel achterlijk of primitief, stereotypen die werden gecreëerd in de vroege koloniale periode. In de 19de eeuw werden Khoikhoi mensen met geweld uitgebuit. Ook werden ze tentoongesteld, als illustratie van een primitief type. Eerst als entertainment, maar later in het kader van wetenschappelijke koloniale kennis. Een bekend voorbeeld was de zogenaamde Hottentot Venus, Sarah Baartman, die vanaf 1810\xad-1815 in Europa werd getoond. Haar stoffelijk overschot werd tot 1974 in een Frans museum tentoongesteld en pas in 2002 teruggebracht naar Zuid\xad-Afrika.']"
knecht,[],[],"['iemand die een ander helpt', 'dienstknecht', 'hulp', 'knecht', 'helper', 'waterdrager', 'dienaar', 'assistent', 'In de Tour werd Indurain door zijn knechten in zijn ploeg geholpen']","[""‘Bediende’, ‘page’, ‘knecht’ en ‘baboe’ zijn termen die vaak voorkomen in museumdatabases, en dan met name in de beschrijvingen van schilderijen en foto’s. Deze verwante termen beschrijven een persoon die in andermans huishouden werkzaam is om huishoudelijke taken te verrichten, zoals koken en schoonmaken, of ter assistentie. De termen veronderstellen op zich geen grove uitbuiting ofschoon zij een hiërarchische relatie op basis van klasse en macht beschrijven die soms gekenmerkt wordt door uitbuiting. De veelvoudige en complexe relaties die bedienden kunnen hebben met hun meesters maken het niet makkelijk, zelfs riskant, om een oordeel te vellen over de rol van de bediende of de omstandigheden waaronder deze leefde. De term ‘page' beschrijft een jonge, mannelijke bediende die voor een edelman werkt, of – wanneer het de Renaissance betreft \xad als bediende voor modieuze dames en heren. Vandaag de dag wordt het in sommige kringen als vernederend of beledigend beschouwd om te verwijzen naar iemand als bediende of page. De term noemen in de beschrijving van historische schilderijen of foto’s kan in sommige gevallen echter wel worden aangeraden""]"
aboriginal,"['bevolking', 'aborigines', 'Australiërs', 'inheemse bevolking', 'inwoner']","['Australisch Aboriginal', 'Beschrijft de diverse soorten kunstwerken die zijn vervaardigd door de oorspronkelijke bewoners van Australië en hun afstammelingen. In de meeste gebieden van Australië worden tegenwoordig traditionele kunstvormen geproduceerd, maar veel Aboriginalkunstenaars beginnen inmiddels ook met allerlei andere media te werken, onder invloed van de mondialisering.']","['oorspronkelijke bewoner van Australië', 'aboriginal']","[""De term ‘Aboriginal' komt van de Latijnse woorden ab en origine, die samen ‘van het begin’ betekenen. ‘Aboriginal' komt vaak voor, onder andere in collectiedatabases van musea, om de oorspronkelijke bewoners van een plek te omschrijven. De term wordt vooral gebruikt om te verwijzen naar inheemse volken in Australië en Canada (zie: Inheems). In Canada heeft men echter recentelijk de voorkeur gegeven aan de term Inheems. ‘Aboriginal’ houdt onvoldoende rekening met de complexiteit en diversiteit van inheemse volken. Veel inheemse volken in beide landen willen geen ‘Aboriginal’ genoemd worden en geven de voorkeur aan andere termen die hun identiteit kenmerken, zoals taal, land en clan relaties. In Canada begon men de term toe te passen in de jaren 1980, toen men een juridische en overkoepelende term zocht om de bestaande – maar controversiële – categorieën ‘indiaan’, ‘Inuit’ en ‘Métis’ te beschrijven (zie: Indiaan en Eskimo).""]"
